Time,header.seq,header.stamp.secs,header.stamp.nsecs,header.frame_id,Latitude,Longitude,Altitude,UTM_easting,UTM_northing,Zone,Letter
1675727300.0392442,1,85702,0,GPS1_Frame,42.337129999999995,-71.0904685,5.0,327785.59245451534,4689324.869022201,19,T
1675727301.026144,2,85703,0,GPS1_Frame,42.33712983333333,-71.09046883333333,4.5,327785.5645381337,4689324.85119024,19,T
1675727302.0302215,3,85704,0,GPS1_Frame,42.337129999999995,-71.0904695,4.0,327785.5100702909,4689324.87104751,19,T
1675727303.035534,4,85705,0,GPS1_Frame,42.33712950000001,-71.09047050000001,3.6,327785.426321149,4689324.817551628,19,T
1675727304.03949,5,85706,0,GPS1_Frame,42.337129000000004,-71.09047183333334,3.5,327785.3151105978,4689324.764730848,19,T
1675727305.0433533,6,85707,0,GPS1_Frame,42.3371285,-71.09047333333334,3.3,327785.1901693408,4689324.712247623,19,T
1675727306.036107,7,85708,0,GPS1_Frame,42.33712816666666,-71.090475,3.2,327785.0519523512,4689324.678609016,19,T
1675727307.0208347,8,85709,0,GPS1_Frame,42.33712766666666,-71.09047650000001,3.2,327784.92701108835,4689324.626125797,19,T
1675727308.0424979,9,85710,0,GPS1_Frame,42.337126999999995,-71.090478,3.3,327784.8016148517,4689324.555135513,19,T
1675727309.031603,10,85711,0,GPS1_Frame,42.33712633333333,-71.09047966666667,3.4,327784.66248790786,4689324.484482788,19,T
1675727310.0390975,11,85712,0,GPS1_Frame,42.337125666666665,-71.09048133333334,3.6,327784.523360959,4689324.413830061,19,T
1675727311.042503,12,85713,0,GPS1_Frame,42.337124333333335,-71.09048250000001,3.8,327784.4236062237,4689324.26813642,19,T
1675727312.048394,13,85714,0,GPS1_Frame,42.337123500000004,-71.09048383333334,3.9,327784.31148570514,4689324.178301528,19,T
1675727313.0399926,14,85715,0,GPS1_Frame,42.337122666666666,-71.090485,3.9,327784.21309588896,4689324.088129082,19,T
1675727314.0484855,15,85716,0,GPS1_Frame,42.337122,-71.09048566666667,4.0,327784.15635316266,4689324.015451041,19,T
1675727315.033093,16,85717,0,GPS1_Frame,42.337121499999995,-71.09048583333333,4.0,327784.1412575299,4689323.960267402,19,T
1675727316.0450983,17,85718,0,GPS1_Frame,42.33712083333333,-71.090486,3.9,327784.1257069212,4689323.886576696,19,T
1675727317.0299046,18,85719,0,GPS1_Frame,42.33712033333333,-71.09048466666667,3.4,327784.2341876428,4689323.828355068,19,T
1675727318.0516062,19,85720,0,GPS1_Frame,42.337120166666665,-71.09048349999999,3.0,327784.3298476107,4689323.807485127,19,T
1675727319.0402575,20,85721,0,GPS1_Frame,42.3371195,-71.0904815,2.8,327784.49279618636,4689323.729406224,19,T
1675727320.0476482,21,85722,0,GPS1_Frame,42.33711916666666,-71.09048116666666,2.2,327784.51934764907,4689323.691716989,19,T
1675727321.034121,22,85723,0,GPS1_Frame,42.337119,-71.0904805,1.6,327784.57381550095,4689323.67185971,19,T
1675727322.0388389,23,85724,0,GPS1_Frame,42.337119,-71.09047916666667,1.2,327784.6836611522,4689323.669159284,19,T
1675727323.0501387,24,85725,0,GPS1_Frame,42.337119,-71.09047766666666,1.1,327784.8072375116,4689323.666121306,19,T
1675727324.0367823,25,85726,0,GPS1_Frame,42.337118833333335,-71.09047633333333,1.3,327784.9166281871,4689323.64491382,19,T
1675727325.0436668,26,85727,0,GPS1_Frame,42.337118333333336,-71.090474,2.3,327785.1074931583,4689323.584666891,19,T
1675727326.0474782,27,85728,0,GPS1_Frame,42.33711783333333,-71.09047183333334,3.4,327785.2846274262,4689323.524757519,19,T
1675727327.0355842,28,85729,0,GPS1_Frame,42.337118,-71.09047000000001,4.2,327785.43612017285,4689323.539551512,19,T
1675727328.0451224,29,85730,0,GPS1_Frame,42.337118,-71.09046833333333,5.0,327785.57342723844,4689323.536175997,19,T
1675727329.032261,30,85731,0,GPS1_Frame,42.337119,-71.09046783333334,5.4,327785.61734919035,4689323.646205731,19,T
1675727330.041171,31,85732,0,GPS1_Frame,42.33712066666667,-71.0904685,5.6,327785.5669760833,4689323.832626584,19,T
1675727331.04581,32,85733,0,GPS1_Frame,42.337122666666666,-71.09047033333333,5.7,327785.4213979861,4689324.058424425,19,T
1675727332.0525427,33,85734,0,GPS1_Frame,42.33712416666667,-71.09047183333334,5.9,327785.30191638833,4689324.228025976,19,T
1675727333.0391862,34,85735,0,GPS1_Frame,42.3371255,-71.09047333333334,5.9,327785.1819798256,4689324.379120461,19,T
1675727334.042391,35,85736,0,GPS1_Frame,42.33712683333333,-71.0904755,5.8,327785.0071204483,4689324.531565158,19,T
1675727335.0445638,36,85737,0,GPS1_Frame,42.337128,-71.09047766666666,5.7,327784.8318061067,4689324.665502795,19,T
1675727336.047948,37,85738,0,GPS1_Frame,42.337129166666664,-71.09047966666667,5.5,327784.6702224736,4689324.799102884,19,T
1675727337.0505743,38,85739,0,GPS1_Frame,42.337129999999995,-71.09048133333334,5.4,327784.53519030433,4689324.895013742,19,T
1675727338.0539935,39,85740,0,GPS1_Frame,42.337131,-71.09048333333334,5.2,327784.3731517069,4689325.010106775,19,T
1675727339.036279,40,85741,0,GPS1_Frame,42.337131666666664,-71.09048483333332,5.1,327784.25139527756,4689325.087173019,19,T
1675727340.0441072,41,85742,0,GPS1_Frame,42.33713216666667,-71.090486,5.1,327784.1566452773,4689325.145057092,19,T
1675727341.0507526,42,85743,0,GPS1_Frame,42.33713250000001,-71.09048716666666,5.1,327784.0614403066,4689325.184434103,19,T
