time,.header.seq,.header.stamp.secs,.header.stamp.nsecs,.header.frame_id,.Latitude,.Longitude,.HDOP,.Altitude,.UTM_easting,.UTM_northing,.Zone,.Letter
2023/02/03/10:43:38.609628,40,6675,0,GPS_Frame 1,42.3387925,-71.08875066666666,1.11,6.3,327931.6494994017,4689505.999284303,19,T
2023/02/03/10:43:39.687943,41,6676,0,GPS_Frame 1,42.33879233333334,-71.08875016666666,1.11,6.3,327931.6902358099,4689505.979765409,19,T
2023/02/03/10:43:40.773056,42,6677,0,GPS_Frame 1,42.338792,-71.08874949999999,1.11,6.2,327931.7442479483,4689505.941402172,19,T
2023/02/03/10:43:41.857062,43,6678,0,GPS_Frame 1,42.338792,-71.08874883333333,1.37,6.1,327931.7991693113,4689505.940053069,19,T
2023/02/03/10:43:42.939302,44,6679,0,GPS_Frame 1,42.33879183333333,-71.08874833333333,1.06,6.0,327931.8399057201,4689505.920534177,19,T
2023/02/03/10:43:44.025015,45,6680,0,GPS_Frame 1,42.33879166666667,-71.08874783333334,1.06,6.0,327931.8806421291,4689505.901015285,19,T
2023/02/03/10:43:45.110190,46,6681,0,GPS_Frame 1,42.33879133333333,-71.08874716666666,1.06,5.9,327931.93465426925,4689505.862652049,19,T
2023/02/03/10:43:46.187632,47,6682,0,GPS_Frame 1,42.33879100000001,-71.08874683333333,1.06,5.9,327931.96120572684,4689505.824963365,19,T
2023/02/03/10:43:47.272807,48,6683,0,GPS_Frame 1,42.33879066666667,-71.0887465,1.37,5.9,327931.98775718693,4689505.78727468,19,T
2023/02/03/10:43:48.357878,49,6684,0,GPS_Frame 1,42.3387905,-71.08874633333333,1.3,5.9,327932.001032916,4689505.768430336,19,T
2023/02/03/10:43:49.441010,50,6685,0,GPS_Frame 1,42.33879016666666,-71.08874633333333,1.3,5.9,327932.00012369314,4689505.731416202,19,T
2023/02/03/10:43:50.523452,51,6686,0,GPS_Frame 1,42.33879016666666,-71.08874666666667,1.3,5.9,327931.97266301187,4689505.732090752,19,T
2023/02/03/10:43:51.607264,52,6687,0,GPS_Frame 1,42.33879066666667,-71.0887475,1.3,5.8,327931.9053751397,4689505.78929833,19,T
2023/02/03/10:43:52.694870,53,6688,0,GPS_Frame 1,42.33879066666667,-71.08874783333334,1.06,5.8,327931.87791445863,4689505.78997288,19,T
2023/02/03/10:43:53.773254,54,6689,0,GPS_Frame 1,42.33879083333333,-71.08874766666666,1.11,5.8,327931.8920994108,4689505.808142671,19,T
2023/02/03/10:43:54.860534,55,6690,0,GPS_Frame 1,42.33879116666667,-71.08874766666666,1.06,5.8,327931.8930086342,4689505.845156806,19,T
2023/02/03/10:43:55.948415,56,6691,0,GPS_Frame 1,42.33879216666666,-71.08874816666666,1.3,5.8,327931.854545284,4689505.957211034,19,T
2023/02/03/10:43:57.032554,57,6692,0,GPS_Frame 1,42.338792833333336,-71.088749,1.06,5.8,327931.78771202907,4689506.032925684,19,T
2023/02/03/10:43:58.108943,58,6693,0,GPS_Frame 1,42.33879266666666,-71.088749,1.06,5.8,327931.787257417,4689506.014418616,19,T
2023/02/03/10:43:59.196177,59,6694,0,GPS_Frame 1,42.3387925,-71.08874850000001,1.06,5.9,327931.8279938274,4689505.994899723,19,T
2023/02/03/10:44:00.279225,60,6695,0,GPS_Frame 1,42.338792,-71.08874783333334,1.06,6.0,327931.8815513526,4689505.938029419,19,T
2023/02/03/10:44:01.356370,61,6696,0,GPS_Frame 1,42.33879183333333,-71.088747,1.37,6.0,327931.94974844425,4689505.917835975,19,T
2023/02/03/10:44:02.446058,62,6697,0,GPS_Frame 1,42.33879149999999,-71.08874633333333,1.06,6.1,327932.0037605845,4689505.879472741,19,T
2023/02/03/10:44:03.526867,63,6698,0,GPS_Frame 1,42.33878833333333,-71.08874116666667,1.11,6.6,327932.42076354765,4689505.517382952,19,T
2023/02/03/10:44:04.612199,64,6699,0,GPS_Frame 1,42.33878800000001,-71.08874,1.06,6.9,327932.51596671686,4689505.4780079005,19,T
2023/02/03/10:44:05.694476,65,6700,0,GPS_Frame 1,42.33878766666667,-71.08873799999999,1.06,7.3,327932.67982159497,4689505.43694648,19,T
2023/02/03/10:44:06.778063,66,6701,0,GPS_Frame 1,42.33878633333334,-71.088735,1.3,7.6,327932.9233308686,4689505.2828190215,19,T
2023/02/03/10:44:07.864584,67,6702,0,GPS_Frame 1,42.33878516666667,-71.08873283333334,1.06,8.0,327933.09864305047,4689505.148885001,19,T
2023/02/03/10:44:08.945953,68,6703,0,GPS_Frame 1,42.33878500000001,-71.08873066666666,1.06,8.3,327933.27668289095,4689505.1259933915,19,T
2023/02/03/10:44:10.031975,69,6704,0,GPS_Frame 1,42.33878500000001,-71.08872866666667,1.06,8.6,327933.44144699385,4689505.121946124,19,T
2023/02/03/10:44:11.121092,70,6705,0,GPS_Frame 1,42.338785333333334,-71.088727,1.06,8.8,327933.5796596297,4689505.15558754,19,T
2023/02/03/10:44:12.198567,71,6706,0,GPS_Frame 1,42.33878566666667,-71.08872533333333,1.3,8.9,327933.7178722641,4689505.189228959,19,T
2023/02/03/10:44:13.277645,72,6707,0,GPS_Frame 1,42.33878583333333,-71.0887235,1.11,9.1,327933.86936063,4689505.20402604,19,T
2023/02/03/10:44:14.363227,73,6708,0,GPS_Frame 1,42.338786,-71.08872133333332,1.06,9.3,327934.0483096803,4689505.218148584,19,T
2023/02/03/10:44:15.444094,74,6709,0,GPS_Frame 1,42.3387865,-71.08871933333333,1.3,9.4,327934.21443759697,4689505.269622535,19,T
2023/02/03/10:44:16.529909,75,6710,0,GPS_Frame 1,42.33878683333334,-71.08871716666665,1.3,9.6,327934.3938412494,4689505.302252157,19,T
2023/02/03/10:44:17.603694,76,6711,0,GPS_Frame 1,42.338786666666664,-71.08871483333334,1.3,9.7,327934.58561142767,4689505.279023309,19,T
2023/02/03/10:44:18.692375,77,6712,0,GPS_Frame 1,42.3387865,-71.08871233333333,1.3,9.9,327934.7911119482,4689505.255457196,19,T
2023/02/03/10:44:19.774675,78,6713,0,GPS_Frame 1,42.3387865,-71.08871,1.3,10.0,327934.9833367319,4689505.250735427,19,T
2023/02/03/10:44:20.858773,79,6714,0,GPS_Frame 1,42.33878716666666,-71.08870716666667,1.3,10.0,327935.21857095114,4689505.319030126,19,T
2023/02/03/10:44:21.940492,80,6715,0,GPS_Frame 1,42.338787,-71.088704,1.3,10.1,327935.47899283894,4689505.294114962,19,T
2023/02/03/10:44:23.023598,81,6716,0,GPS_Frame 1,42.33878683333334,-71.08870166666667,1.3,10.1,327935.67076302145,4689505.270886144,19,T
2023/02/03/10:44:24.108319,82,6717,0,GPS_Frame 1,42.3387865,-71.08869849999999,1.3,10.1,327935.9307303086,4689505.227463926,19,T
2023/02/03/10:44:25.190028,83,6718,0,GPS_Frame 1,42.33878566666667,-71.08869583333333,1.3,10.2,327936.1481427731,4689505.129532322,19,T
2023/02/03/10:44:26.274338,84,6719,0,GPS_Frame 1,42.33878566666667,-71.08869416666667,1.3,10.3,327936.28544619284,4689505.126159656,19,T
2023/02/03/10:44:27.359010,85,6720,0,GPS_Frame 1,42.33878500000001,-71.08869299999999,1.3,10.4,327936.37974018685,4689505.04977052,19,T
2023/02/03/10:44:28.441584,86,6721,0,GPS_Frame 1,42.33878466666667,-71.08869216666668,1.06,10.6,327936.44748269615,4689505.011070054,19,T
2023/02/03/10:44:29.522323,87,6722,0,GPS_Frame 1,42.338785333333334,-71.08869133333333,1.06,10.7,327936.5179528047,4689505.0834119925,19,T
2023/02/03/10:44:30.611754,88,6723,0,GPS_Frame 1,42.33878566666667,-71.0886905,1.06,10.9,327936.58751371136,4689505.1187398,19,T
2023/02/03/10:44:31.689473,89,6724,0,GPS_Frame 1,42.338786,-71.08868933333333,1.06,11.1,327936.6845353043,4689505.153393072,19,T
2023/02/03/10:44:32.777041,90,6725,0,GPS_Frame 1,42.338786666666664,-71.08868833333332,1.06,11.2,327936.76873575035,4689505.225397746,19,T
2023/02/03/10:44:33.860066,91,6726,0,GPS_Frame 1,42.3387865,-71.08868766666666,1.06,11.4,327936.82320251915,4689505.205541616,19,T
2023/02/03/10:44:34.945429,92,6727,0,GPS_Frame 1,42.3387865,-71.088687,1.06,11.6,327936.8781238847,4689505.204192555,19,T
2023/02/03/10:44:36.027314,93,6728,0,GPS_Frame 1,42.338786666666664,-71.08868666666667,1.06,11.8,327936.9060391658,4689505.222025093,19,T
2023/02/03/10:44:37.111677,94,6729,0,GPS_Frame 1,42.33878616666666,-71.08868666666667,1.06,12.0,327936.90467537066,4689505.1665038895,19,T
2023/02/03/10:44:38.195474,95,6730,0,GPS_Frame 1,42.33878549999999,-71.088687,1.06,12.2,327936.87539629394,4689505.093150152,19,T
2023/02/03/10:44:39.276223,96,6731,0,GPS_Frame 1,42.338784000000004,-71.08868716666666,1.06,12.4,327936.85757456603,4689504.926923811,19,T
2023/02/03/10:44:40.363845,97,6732,0,GPS_Frame 1,42.338783,-71.08868733333334,1.06,12.7,327936.84111663094,4689504.816218673,19,T
2023/02/03/10:44:41.441621,98,6733,0,GPS_Frame 1,42.33878216666667,-71.0886875,1.06,12.8,327936.82511329616,4689504.724020602,19,T
2023/02/03/10:44:42.530696,99,6734,0,GPS_Frame 1,42.33878200000001,-71.08868733333334,1.06,13.0,327936.83838904003,4689504.705176271,19,T
2023/02/03/10:44:43.607100,100,6735,0,GPS_Frame 1,42.338781000000004,-71.088687,1.06,13.2,327936.86312213633,4689504.593459336,19,T
2023/02/03/10:44:44.691010,101,6736,0,GPS_Frame 1,42.338781166666664,-71.08868633333333,1.06,13.3,327936.9184981048,4689504.6106173415,19,T
2023/02/03/10:44:45.778452,102,6737,0,GPS_Frame 1,42.3387815,-71.08868566666666,1.29,13.1,327936.9743286733,4689504.646282415,19,T
2023/02/03/10:44:46.856312,103,6738,0,GPS_Frame 1,42.338782666666674,-71.08868483333335,1.06,13.1,327937.0461625713,4689504.774145561,19,T
2023/02/03/10:44:47.938742,104,6739,0,GPS_Frame 1,42.33878333333334,-71.08868383333333,1.06,13.1,327937.13036301755,4689504.846150242,19,T
2023/02/03/10:44:49.020576,105,6740,0,GPS_Frame 1,42.33878433333333,-71.08868316666667,1.06,13.1,327937.18801197346,4689504.955843585,19,T
2023/02/03/10:44:50.108367,106,6741,0,GPS_Frame 1,42.338785333333334,-71.08868266666667,1.06,13.0,327937.23193058406,4689505.065874196,19,T
2023/02/03/10:44:51.188792,107,6742,0,GPS_Frame 1,42.33878616666666,-71.08868266666667,1.06,12.9,327937.23420357157,4689505.158409531,19,T
2023/02/03/10:44:52.275785,108,6743,0,GPS_Frame 1,42.338786666666664,-71.08868283333332,1.06,12.8,327937.2218370249,4689505.214267998,19,T
2023/02/03/10:44:53.355473,109,6744,0,GPS_Frame 1,42.3387875,-71.08868316666667,1.06,12.8,327937.1966493282,4689505.3074778635,19,T
2023/02/03/10:44:54.437040,110,6745,0,GPS_Frame 1,42.33878983333334,-71.0886845,1.29,12.7,327937.093170968,4689505.569274924,19,T
2023/02/03/10:44:55.523481,111,6746,0,GPS_Frame 1,42.3387925,-71.08868633333333,1.29,12.5,327936.94941079034,4689505.869097918,19,T
2023/02/03/10:44:56.605015,112,6747,0,GPS_Frame 1,42.33879483333333,-71.08868733333334,1.36,12.3,327936.87339312816,4689506.130220451,19,T
2023/02/03/10:44:57.687221,113,6748,0,GPS_Frame 1,42.33879716666667,-71.0886885,1.36,12.1,327936.7836451334,4689506.391680254,19,T
