time,.Header.seq,.Header.stamp.secs,.Header.stamp.nsecs,.Header.frame_id,.Latitude,.Longitude,.HDOP,.Altitude,.UTM_easting,.UTM_northing,.UTC,.Zone,.Letter
2023/03/24/14:44:56.334008,0,67496,0,GPS1_FRAME,42.337465,-71.08960833333335,1.2,15.8,327857.370736275,4689360.326476881,184456.0,19,T
2023/03/24/14:44:57.334489,0,67497,0,GPS1_FRAME,42.337465,-71.08960833333335,1.2,15.8,327857.370736275,4689360.326476881,184457.0,19,T
2023/03/24/14:44:58.334236,0,67498,0,GPS1_FRAME,42.337465,-71.08960833333335,1.2,15.8,327857.370736275,4689360.326476881,184458.0,19,T
2023/03/24/14:44:59.334661,0,67499,0,GPS1_FRAME,42.337465,-71.08960833333335,1.2,15.8,327857.370736275,4689360.326476881,184459.0,19,T
2023/03/24/14:45:00.334343,0,67500,0,GPS1_FRAME,42.337465,-71.08960833333335,1.2,15.8,327857.370736275,4689360.326476881,184500.0,19,T
2023/03/24/14:45:01.335113,0,67501,0,GPS1_FRAME,42.337465,-71.08960833333335,1.2,15.8,327857.370736275,4689360.326476881,184501.0,19,T
2023/03/24/14:45:02.335252,0,67502,0,GPS1_FRAME,42.337465,-71.08960833333335,1.2,15.8,327857.370736275,4689360.326476881,184502.0,19,T
2023/03/24/14:45:03.335094,0,67503,0,GPS1_FRAME,42.337465,-71.08960833333335,1.2,15.7,327857.370736275,4689360.326476881,184503.0,19,T
2023/03/24/14:45:04.335601,0,67504,0,GPS1_FRAME,42.337465,-71.08960833333335,1.2,15.7,327857.370736275,4689360.326476881,184504.0,19,T
2023/03/24/14:45:05.335131,0,67505,0,GPS1_FRAME,42.337465,-71.08960833333335,1.2,15.7,327857.370736275,4689360.326476881,184505.0,19,T
2023/03/24/14:45:06.335369,0,67506,0,GPS1_FRAME,42.337465,-71.08960833333335,1.2,15.7,327857.370736275,4689360.326476881,184506.0,19,T
2023/03/24/14:45:07.335229,0,67507,0,GPS1_FRAME,42.337465,-71.08960833333335,1.2,15.7,327857.370736275,4689360.326476881,184507.0,19,T
2023/03/24/14:45:08.335372,0,67508,0,GPS1_FRAME,42.337465,-71.08960833333335,1.2,15.7,327857.370736275,4689360.326476881,184508.0,19,T
2023/03/24/14:45:09.363018,0,67509,0,GPS1_FRAME,42.337465,-71.08960833333335,1.2,15.7,327857.370736275,4689360.326476881,184509.0,19,T
2023/03/24/14:45:10.336401,0,67510,0,GPS1_FRAME,42.337465,-71.08960833333335,1.0,15.7,327857.370736275,4689360.326476881,184510.0,19,T
2023/03/24/14:45:11.336997,0,67511,0,GPS1_FRAME,42.337465,-71.08960833333335,1.0,15.7,327857.370736275,4689360.326476881,184511.0,19,T
2023/03/24/14:45:12.337158,0,67512,0,GPS1_FRAME,42.337465,-71.08960833333335,1.0,15.7,327857.370736275,4689360.326476881,184512.0,19,T
2023/03/24/14:45:13.338732,0,67513,0,GPS1_FRAME,42.337465,-71.08960833333335,1.0,15.7,327857.370736275,4689360.326476881,184513.0,19,T
2023/03/24/14:45:14.337009,0,67514,0,GPS1_FRAME,42.337465,-71.08960833333335,1.0,15.7,327857.370736275,4689360.326476881,184514.0,19,T
2023/03/24/14:45:15.337116,0,67515,0,GPS1_FRAME,42.337465,-71.08961,1.0,15.7,327857.2334299725,4689360.329851012,184515.0,19,T
2023/03/24/14:45:16.336959,0,67516,0,GPS1_FRAME,42.337465,-71.08961,1.0,15.7,327857.2334299725,4689360.329851012,184516.0,19,T
2023/03/24/14:45:17.337273,0,67517,0,GPS1_FRAME,42.337465,-71.08961,1.0,15.7,327857.2334299725,4689360.329851012,184517.0,19,T
2023/03/24/14:45:18.338133,0,67518,0,GPS1_FRAME,42.337465,-71.08961,1.0,15.7,327857.2334299725,4689360.329851012,184518.0,19,T
2023/03/24/14:45:19.338442,0,67519,0,GPS1_FRAME,42.337465,-71.08961,1.0,15.7,327857.2334299725,4689360.329851012,184519.0,19,T
2023/03/24/14:45:20.337933,0,67520,0,GPS1_FRAME,42.337465,-71.08961,1.0,15.7,327857.2334299725,4689360.329851012,184520.0,19,T
2023/03/24/14:45:21.338087,0,67521,0,GPS1_FRAME,42.337465,-71.08961,1.0,15.7,327857.2334299725,4689360.329851012,184521.0,19,T
2023/03/24/14:45:22.338540,0,67522,0,GPS1_FRAME,42.337465,-71.08961,1.0,15.7,327857.2334299725,4689360.329851012,184522.0,19,T
2023/03/24/14:45:23.338901,0,67523,0,GPS1_FRAME,42.337465,-71.08961,1.0,15.7,327857.2334299725,4689360.329851012,184523.0,19,T
2023/03/24/14:45:24.338873,0,67524,0,GPS1_FRAME,42.337465,-71.08961,1.0,15.7,327857.2334299725,4689360.329851012,184524.0,19,T
2023/03/24/14:45:25.339785,0,67525,0,GPS1_FRAME,42.337465,-71.08961,1.0,15.7,327857.2334299725,4689360.329851012,184525.0,19,T
2023/03/24/14:45:26.339372,0,67526,0,GPS1_FRAME,42.337465,-71.08961,1.0,15.7,327857.2334299725,4689360.329851012,184526.0,19,T
2023/03/24/14:45:27.338506,0,67527,0,GPS1_FRAME,42.337465,-71.08961,1.0,15.7,327857.2334299725,4689360.329851012,184527.0,19,T
2023/03/24/14:45:28.341767,0,67528,0,GPS1_FRAME,42.337465,-71.08961,1.0,15.7,327857.2334299725,4689360.329851012,184528.0,19,T
2023/03/24/14:45:29.339480,0,67529,0,GPS1_FRAME,42.337465,-71.08961,1.0,15.7,327857.2334299725,4689360.329851012,184529.0,19,T
2023/03/24/14:45:30.340016,0,67530,0,GPS1_FRAME,42.337465,-71.08961,1.0,15.7,327857.2334299725,4689360.329851012,184530.0,19,T
2023/03/24/14:45:31.340508,0,67531,0,GPS1_FRAME,42.33747,-71.08961166666667,1.0,15.5,327857.1097673179,4689360.888437082,184531.0,19,T
2023/03/24/14:45:32.340193,0,67532,0,GPS1_FRAME,42.337480000000006,-71.08961833333333,1.0,15.3,327856.58782954025,4689362.012357515,184532.0,19,T
2023/03/24/14:45:33.336615,0,67533,0,GPS1_FRAME,42.33749833333333,-71.08963,1.2,15.1,327855.6767128211,4689364.071753709,184533.0,19,T
2023/03/24/14:45:34.337355,0,67534,0,GPS1_FRAME,42.33752,-71.08964333333333,1.2,15.1,327854.6373864017,4689366.504665521,184534.0,19,T
2023/03/24/14:45:35.336888,0,67535,0,GPS1_FRAME,42.33754666666667,-71.08965833333333,1.2,14.9,327853.4743986007,4689369.496163674,184535.0,19,T
2023/03/24/14:45:36.344727,0,67536,0,GPS1_FRAME,42.337579999999996,-71.089675,1.2,14.7,327852.19229793415,4689373.231318897,184536.0,19,T
2023/03/24/14:45:37.340996,0,67537,0,GPS1_FRAME,42.33761666666666,-71.08969499999999,1.0,14.8,327850.64468297287,4689377.343364252,184537.0,19,T
2023/03/24/14:45:38.339586,0,67538,0,GPS1_FRAME,42.33765666666667,-71.08971666666666,1.0,15.0,327848.96886036167,4689381.828925637,184538.0,19,T
2023/03/24/14:45:39.340271,0,67539,0,GPS1_FRAME,42.33769833333334,-71.08973999999999,1.0,15.2,327847.1602824804,4689386.502932511,184539.0,19,T
2023/03/24/14:45:40.338952,0,67540,0,GPS1_FRAME,42.33774166666667,-71.08976333333334,1.2,15.1,327845.3562554674,4689391.362010613,184540.0,19,T
2023/03/24/14:45:41.339028,0,67541,0,GPS1_FRAME,42.33778833333334,-71.08978499999999,1.2,14.8,327843.69863338105,4689396.587856181,184541.0,19,T
2023/03/24/14:45:42.338819,0,67542,0,GPS1_FRAME,42.337835,-71.089805,1.2,14.7,327842.1783195506,4689401.810327803,184542.0,19,T
2023/03/24/14:45:43.339673,0,67543,0,GPS1_FRAME,42.33788,-71.08981666666666,1.2,15.4,327841.3399868915,4689406.830856825,184543.0,19,T
2023/03/24/14:45:44.338821,0,67544,0,GPS1_FRAME,42.33792833333334,-71.08982833333333,1.2,15.3,327840.5107525022,4689412.221527342,184544.0,19,T
2023/03/24/14:45:45.337797,0,67545,0,GPS1_FRAME,42.33797500000001,-71.08983666666667,1.2,15.3,327839.9515816708,4689417.420378365,184545.0,19,T
2023/03/24/14:45:46.337482,0,67546,0,GPS1_FRAME,42.33802333333333,-71.089845,1.2,15.3,327839.39696041506,4689422.80430016,184546.0,19,T
2023/03/24/14:45:47.338604,0,67547,0,GPS1_FRAME,42.33807166666667,-71.08985166666666,1.2,15.3,327838.9796453159,4689428.184847537,184547.0,19,T
2023/03/24/14:45:48.339228,0,67548,0,GPS1_FRAME,42.338119999999996,-71.08986,1.2,15.1,327838.42502630444,4689433.5687695425,184548.0,19,T
2023/03/24/14:45:49.341243,0,67549,0,GPS1_FRAME,42.33817333333333,-71.08987166666667,1.2,15.2,327837.6094444566,4689439.514652785,184549.0,19,T
2023/03/24/14:45:50.339082,0,67550,0,GPS1_FRAME,42.338226666666664,-71.08988333333333,1.2,15.2,327836.79386438464,4689445.460536215,184550.0,19,T
2023/03/24/14:45:51.339352,0,67551,0,GPS1_FRAME,42.338281666666674,-71.0899,1.2,15.3,327835.5709210817,4689451.601614321,184551.0,19,T
2023/03/24/14:45:52.342088,0,67552,0,GPS1_FRAME,42.33833500000001,-71.08991999999999,1.4,15.4,327834.06882288784,4689457.56437136,184552.0,19,T
2023/03/24/14:45:53.337552,0,67553,0,GPS1_FRAME,42.338385,-71.08994333333334,1.4,16.1,327832.283021668,4689463.16373685,184553.0,19,T
2023/03/24/14:45:54.336891,0,67554,0,GPS1_FRAME,42.338445,-71.08997333333333,1.4,16.0,327829.9752993965,4689469.887025886,184554.0,19,T
2023/03/24/14:45:55.338440,0,67555,0,GPS1_FRAME,42.33851,-71.090005,1.4,16.0,327827.54392446904,4689477.168902697,184555.0,19,T
2023/03/24/14:45:56.336994,0,67556,0,GPS1_FRAME,42.33856833333333,-71.09003,1.4,16.1,327825.64357513085,4689483.696998543,184556.0,19,T
2023/03/24/14:45:57.337542,0,67557,0,GPS1_FRAME,42.338620000000006,-71.09005666666667,1.4,16.1,327823.58773018257,4689489.488187205,184557.0,19,T
2023/03/24/14:45:58.340187,0,67558,0,GPS1_FRAME,42.338680000000004,-71.09008333333333,1.2,16.1,327821.55463406304,4689496.204730043,184558.0,19,T
2023/03/24/14:45:59.366830,0,67559,0,GPS1_FRAME,42.338741666666664,-71.09010833333333,1.2,15.9,327819.66339491884,4689503.10296939,184559.0,19,T
2023/03/24/14:46:00.342459,0,67560,0,GPS1_FRAME,42.338800000000006,-71.09013499999999,1.2,16.0,327817.6257583301,4689509.634443042,184600.0,19,T
2023/03/24/14:46:01.342467,0,67561,0,GPS1_FRAME,42.338858333333334,-71.09016333333334,1.2,16.0,327815.45082270843,4689516.169292497,184601.0,19,T
2023/03/24/14:46:02.341178,0,67562,0,GPS1_FRAME,42.338915,-71.09019333333335,1.2,16.2,327813.13403916295,4689522.52244721,184602.0,19,T
2023/03/24/14:46:03.341593,0,67563,0,GPS1_FRAME,42.338975,-71.09022166666666,1.2,16.2,327810.963661943,4689529.242369124,184603.0,19,T
